date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2018-02-28,bitcoin,0.33,0.0,8558229137.49,38835937.21999931,43595311.86,-16376386.590000004,2018-02-28,0.33,0.33,0.29
2018-03-07,bitcoin,0.28,-0.019999999999999962,7216613807.96,-436385540.72999954,42013215.8,-33161367.090000004,2018-03-07,0.29,0.3,0.28
2018-03-11,bitcoin,0.21,0.0,5315540005.63,-161548000.34999943,34399754.65,-15282753.060000002,2018-03-11,0.24,0.24,0.21
2018-03-15,bitcoin,0.2,-0.01999999999999999,5192598889.04,-552584694.8900003,146577842.12,42347889.18000001,2018-03-15,0.22,0.22,0.2
2018-03-19,bitcoin,0.16,0.0,4045986534.75,-51530848.19000006,206870346.72,122695847.28999999,2018-03-19,0.19,0.19,0.16
2018-03-23,bitcoin,0.2,-0.01999999999999999,5283296834.8,-313889984.1199999,209925461.77,-61386674.00999996,2018-03-23,0.19,0.22,0.19
2018-03-27,bitcoin,0.17,-0.009999999999999981,4350695257.03,-442083684.7800007,122615730.54,59339465.78000001,2018-03-27,0.19,0.19,0.17
2018-03-31,bitcoin,0.15,0.0,3804043139.6,12045088.079999924,124911837.81,17131686.46000001,2018-03-31,0.16,0.16,0.15
2018-04-03,bitcoin,0.16,0.010000000000000009,4057668691.58,125964137.29999971,106347391.6,1401515.7899999917,2018-04-03,0.16,0.16,0.15
2018-04-07,bitcoin,0.14,-0.009999999999999981,3743531502.02,-150363702.57999992,52008384.42,-66216587.53999999,2018-04-07,0.17,0.17,0.14
2018-04-11,bitcoin,0.16,0.010000000000000009,4056513587.12,84025361.19000006,59572017.2,-37409142.17999999,2018-04-11,0.15,0.16,0.15
2018-04-15,bitcoin,0.2,0.0,5173658186.64,15922304.56000042,115064004.02,-114034346.77,2018-04-15,0.17,0.21,0.17
2018-04-19,bitcoin,0.26,0.020000000000000018,6754457074.46,442184000.7300005,186344034.7,-348616808.83,2018-04-19,0.22,0.26,0.22
2018-04-23,bitcoin,0.28,-0.009999999999999953,7368675869.35,-186982834.9699993,162687316.45,-137715767.32999998,2018-04-23,0.27,0.29,0.27
2018-04-27,bitcoin,0.29,0.019999999999999962,7610584481.91,614882108.6599998,231323098.72,-124152491.03,2018-04-27,0.29,0.31,0.27
2018-04-30,bitcoin,0.36,0.0,9412827551.49,187371572.09000015,663808565.61,-11471735.889999986,2018-04-30,0.29,0.36,0.29
2018-05-03,bitcoin,0.37,0.010000000000000009,9579131634.26,340140224.59000015,272233287.73,-108702128.37,2018-05-03,0.34,0.37,0.34
2018-05-07,bitcoin,0.35,-0.020000000000000018,9049361476.67,-422139397.37999916,154299592.84,10315630.340000004,2018-05-07,0.37,0.37,0.35
2018-05-11,bitcoin,0.3,-0.020000000000000018,7656151644.4,-536653735.96000004,123637937.87,26385432.39,2018-05-11,0.33,0.33,0.3
2018-05-15,bitcoin,0.27,-0.019999999999999962,7102579510.74,-301525301.53999996,164701733.28,-22335027.349999994,2018-05-15,0.26,0.29,0.26
2018-05-19,bitcoin,0.24,0.0,6281028100.2,-32666918.770000458,54721647.13,-29657044.029999994,2018-05-19,0.26,0.26,0.24
2018-05-23,bitcoin,0.22,-0.03,5819388790.11,-612112587.7600002,80490595.04,-7371216.329999998,2018-05-23,0.24,0.25,0.22
2018-05-27,bitcoin,0.2,0.0,5092596631.13,-115315979.75,64213336.98,-20847398.589999996,2018-05-27,0.2,0.21,0.2
