date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,date,open,high,low
2019-12-31,bitcoin,1.0,0.0,4281011670.93,-6769358.800000191,25345399271.79,271058824.70000076,2019-12-31,1.0,1.0,1.0
2020-01-03,bitcoin,1.0,0.0,4288898575.23,2632089.9099998474,22785123515.58,2273793108.9100037,2020-01-03,1.0,1.0,1.0
2020-01-07,bitcoin,1.0,0.0,4285344128.96,3952427.53000021,32170855517.29,6671659948.48,2020-01-07,1.0,1.0,1.0
2020-01-11,bitcoin,1.0,0.0,4288341143.27,1399071.0599999428,39342110024.91,7486414957.140003,2020-01-11,1.0,1.0,1.0
2020-01-15,bitcoin,1.0,0.0,4278526948.14,-3833381.75,70376678351.42,40885244771.5,2020-01-15,1.0,1.0,1.0
2020-01-19,bitcoin,1.0,0.0,4277817641.52,-2043168.1700000763,49212911786.05,-3701849917.2899933,2020-01-19,1.0,1.0,1.0
2020-01-23,bitcoin,1.0,0.0,4282886404.33,-587023.5700001717,30662512551.84,-1394147615.0999985,2020-01-23,1.0,1.0,1.0
2020-01-27,bitcoin,1.0,0.0,4285728293.99,2080303.4099998474,36708874104.71,5467650815.599998,2020-01-27,1.0,1.0,1.0
2020-01-31,bitcoin,1.0,0.0,4277899662.97,1185369.1999998093,65338196682.93,7550977820.529999,2020-01-31,1.0,1.0,1.0
2020-02-03,bitcoin,1.0,0.0,4285631681.88,6333889.440000057,70633299956.6,8299697528.230003,2020-02-03,0.99,1.0,0.99
2020-02-07,bitcoin,1.0,0.0,4280165005.97,-1121719.990000248,89456430446.93,6088764780.159988,2020-02-07,1.0,1.0,1.0
2020-02-11,bitcoin,1.0,0.0,4293957672.41,-10289207.029999733,106352560942.69,5406858307.440002,2020-02-11,1.0,1.0,1.0
2020-02-15,bitcoin,1.0,0.0,4283562617.38,4310704.760000229,65602990735.92,-5796528191.619995,2020-02-15,1.0,1.0,1.0
2020-02-19,bitcoin,1.0,0.0,4285326170.91,-11226941.440000534,70299261237.22,5915146566.050003,2020-02-19,1.0,1.0,1.0
2020-02-23,bitcoin,1.0,0.0,4285130709.12,-1059200.8299999237,37409628165.2,-6283652951.360001,2020-02-23,1.0,1.0,1.0
2020-02-27,bitcoin,1.0,0.0,4279357850.61,-4909716.210000038,60222173759.01,12003379339.690002,2020-02-27,1.0,1.0,1.0
2020-02-29,bitcoin,1.0,0.0,4284583525.76,-5917951.159999847,50928255293.28,-2583356852.220001,2020-02-29,1.0,1.0,1.0
2020-03-03,bitcoin,1.0,0.0,4287612678.86,26620.610000133514,62844694239.7,22165638224.629997,2020-03-03,1.0,1.0,1.0
2020-03-07,bitcoin,1.0,0.0,4292195689.74,8743104.259999752,48040883409.13,2025010494.1100006,2020-03-07,1.0,1.0,1.0
2020-03-11,bitcoin,1.0,0.0,4301130617.36,1290464.5399999619,47930121433.38,-12781519158.560005,2020-03-11,1.0,1.0,1.0
2020-03-15,bitcoin,0.99,-0.020000000000000018,4271079465.44,-69733374.70999956,39487890716.08,-52738939161.31999,2020-03-15,1.0,1.01,0.99
2020-03-19,bitcoin,1.0,0.0,4231721926.35,-74861218.54999971,43824087657.32,-635920157.1100006,2020-03-19,1.0,1.01,1.0
2020-03-23,bitcoin,1.0,0.0,4298879010.05,24119586.85000038,45666848648.79,-4522909934.970001,2020-03-23,1.0,1.0,1.0
2020-03-27,bitcoin,1.0,0.0,4300196108.96,-4159841.6499996185,39180907039.92,-8415284560.330002,2020-03-27,1.0,1.0,1.0
2020-03-31,bitcoin,1.0,0.0,4303567262.19,4669874.019999504,43018394294.53,10860533517.55,2020-03-31,1.0,1.0,1.0
