date,id,prices,price_diff,market_caps,market_caps_diff,total_volumes,total_volumes_diff,open,high,low
2015-04-19,bitcoin,222.68,-0.2699999999999818,3133241391.63,-3126340.059999943,58633108.41,-11532265.61,228.0,228.0,222.42
2015-04-23,bitcoin,235.17,1.3899999999999864,3312571610.28,20366591.56000042,55130032.4,-17385550.470000006,224.31,235.17,224.31
2015-04-27,bitcoin,228.57,10.060000000000002,3222813920.04,142637042.78999996,95409417.49,-1590546.1400000006,230.99,230.99,218.51
2015-04-30,bitcoin,236.22,10.219999999999999,3333116826.64,144977161.92999983,103785827.26,47004133.480000004,225.64,236.22,225.64
2015-05-03,bitcoin,239.88,4.719999999999999,3387421698.4,67567359.70000029,86630763.25,25199336.86,232.74,239.88,232.74
2015-05-07,bitcoin,236.85,7.030000000000001,3346205371.25,99318771.8499999,74887945.16,4264731.420000002,238.97,238.97,229.82
2015-05-11,bitcoin,241.85,2.299999999999983,3416925739.45,32435636.349999905,70787411.31,2976771.5,243.66,243.66,239.55
2015-05-15,bitcoin,236.99,0.29000000000002046,3348265270.1,4051982.0999999046,39256136.3,-17718989.200000003,241.52,241.52,235.48
2015-05-19,bitcoin,231.94,-0.539999999999992,3276971294.95,-7503513.580000401,31085021.51,-2687780.3499999978,235.98,236.08,231.94
2015-05-23,bitcoin,239.03,-1.9099999999999966,3392690898.44,-26342220.82000017,47757592.66,-6760886.3000000045,234.05,240.94,234.05
2015-05-27,bitcoin,237.23,-0.27000000000001023,3370470121.04,-2956499.6399998665,30728765.83,459783.0699999966,241.24,241.24,237.23
2015-05-31,bitcoin,229.68,-3.780000000000001,3266430207.38,-52910953.65999985,23353985.65,-8049759.210000001,237.49,237.49,229.68
2015-06-03,bitcoin,225.48,-0.2600000000000193,3208477948.99,-3546726.3700003624,30472196.12,-1590040.9399999976,223.32,225.74,223.32
2015-06-07,bitcoin,223.62,-1.6699999999999875,3181906060.8,-23808548.4199996,24133822.47,5895376.73,224.17,225.29,223.62
2015-06-11,bitcoin,229.93,0.9300000000000068,3271815631.71,13263177.139999866,28833233.41,-360803.3599999994,228.7,229.93,228.7
2015-06-15,bitcoin,237.2,3.530000000000001,3375220318.16,50275139.42000008,46839294.42,11536123.71,230.52,237.2,230.52
2015-06-19,bitcoin,243.0,-5.550000000000011,3457685093.14,-79048308.05999994,60767655.66,-6592885.020000011,250.47,250.47,243.0
